探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
10,0.83,6846125,8238417.57,156362,87741,23122,239,66,870357,1.86,B4
10,0.71,6047129,8517083.10,86714,135464,28713,543,84,1670141,-5.31,D7
12,7.04,55898082,7938940.78,1326384,869216,190301,22048,3923,7426453,3.87,B4
12,5.94,48633924,8187529.29,375265,1402663,239348,57228,8817,15609810,-5.15,D7

F5F6C4E3F2B4B3D6D3B2E6D2G7F3C6
8,0.06,528819,8813650.00,15363,6718,1322,15,0,85249,1.05,F4
8,0.11,920780,8605420.56,27801,8517,2925,15,0,128572,0.64,C3
10,0.62,5276884,8552486.22,96550,81286,16061,187,25,1019366,-0.52,F4
10,1.02,8729138,8549596.47,115102,103163,35925,339,113,1546225,-0.15,C3
12,5.83,48409065,8297748.54,622955,872812,156533,22297,3173,10334852,-0.07,F4
12,9.24,77505009,8387987.99,693403,1042214,291091,31789,9601,14763034,1.68,C3

E6F4E3F6D3C5B6D6D7E2G7C7E7A5F1
8,0.07,627766,8483324.32,18334,10319,3305,13,0,116201,19.91,B5
8,0.03,265328,8844266.67,9089,7272,841,15,0,66549,-15.57,F5
10,0.81,6768960,8325904.06,89596,123687,39058,496,153,1359552,17.12,C6
10,0.56,4788931,8628704.50,81040,111644,22740,394,74,1234311,-16.44,B5
12,7.67,62320513,8129469.48,421101,1280667,311743,47782,11028,13193603,17.36,C6
12,5.94,49713728,8370723.69,356615,1317122,209212,50768,7439,14219962,-15.05,B5

D3C3E6F4G3D6B3F5G6G5F6E7G7H2G4
8,0.05,392515,8532934.78,12041,5993,1593,14,0,55899,16.48,F7
8,0.03,240857,8602035.71,11319,5570,1433,14,0,57108,-15.40,F8
10,0.51,4011314,7880774.07,78516,70492,16586,159,19,615871,18.07,F7
10,0.32,2659627,8363606.92,37907,84771,20907,227,36,901309,-17.23,C5
12,4.02,32180559,8011092.61,497630,615956,126915,11367,2225,5116997,17.95,F7
12,2.78,23326570,8378796.70,113243,936528,175889,25833,4551,9329838,-15.36,C5

C4C5F6D3C6B6D2C7B7A7A6B5A5C3B2
8,0.02,149149,8773470.59,6334,2552,332,17,0,13688,1.88,E6
8,0.01,105129,8086846.15,4796,2905,987,17,0,28693,1.58,A8
10,0.21,1758833,8455927.88,45732,29842,8237,59,12,248400,2.26,E6
10,0.11,927008,8583407.41,25454,26808,8459,49,2,281311,1.03,A8
12,1.78,14784322,8319821.05,343739,265242,64718,2153,491,2144177,2.41,E6
12,1.13,9667688,8532822.59,94103,290960,79772,2620,558,3117489,0.32,A8

C4E3F2E2F5C6D2C5B5D6D3A4D7E8D8
8,0.03,275574,8611687.50,9864,3905,1205,13,0,31582,6.70,F3
8,0.03,225787,9031480.00,8648,4928,1533,14,1,54706,-9.35,F8
10,0.31,2575295,8415996.73,75424,40185,12364,58,11,337109,5.90,F3
10,0.16,1388902,8680637.50,20114,37033,9352,41,4,396401,-7.45,F8
12,1.77,14436755,8133383.10,475297,258094,60705,1977,339,1665696,8.70,C8
12,1.50,13160467,8779497.67,89012,485530,101126,6961,1399,5183437,-9.41,C7

D3E3F3C3E6F4C5E7G5G2F7G4F5D2H3
8,0.08,766128,9120571.43,17528,11046,3025,17,0,157606,-10.20,C4
8,0.18,1576183,8756572.22,34864,17966,5101,24,4,273527,4.58,B4
10,0.75,6636568,8848757.33,76648,114673,33189,422,86,1537894,-6.67,C4
10,1.38,11860004,8619188.95,225006,158223,46105,790,219,2167246,5.22,B4
12,6.38,55164295,8651865.59,314722,1188937,308288,41181,8826,14743040,-7.16,C4
12,11.57,96485279,8335661.25,1062343,1639927,384966,77808,18248,20505441,3.89,B4

F5F4E3D6C6C5C4B4F3B6B3G2A7G4A4
8,0.08,692607,8767177.22,33695,8523,2358,18,0,99627,-8.99,G6
8,0.06,512435,8685338.98,13004,5939,1639,16,0,75806,10.82,F6
10,0.73,6408418,8754669.40,154121,97663,31823,272,80,1250093,-7.88,F6
10,0.38,3196990,8525306.67,40693,48904,9574,78,11,565609,10.23,C7
12,6.35,54227467,8541103.64,846186,947124,270249,26217,7600,11683329,-8.36,E6
12,2.37,19671776,8310847.49,227644,399586,75205,4929,827,3973710,6.80,C7

F5D6C5B6C4F4E6E3G3B4D2F7A4B3B2
8,0.07,600899,8836750.00,19562,5674,1998,16,0,67862,22.34,A3
8,0.02,192808,9181333.33,6021,3784,705,16,0,44242,-20.37,C6
10,0.58,5011881,8701182.29,100055,58220,17416,133,32,703185,19.76,F3
10,0.20,1759248,8885090.91,45016,31695,5648,50,4,379664,-20.27,D3
12,5.00,42607630,8514714.23,528448,576564,153119,9947,2391,6553615,20.95,F3
12,1.64,14408777,8769797.32,270946,297504,48755,2611,286,3482365,-19.42,D3

F5F4G3E6F7H2D3E7E8C4C3G8C5G6G5H6G4D7H5H3F3F2C8B3G2E3D6H4C2C7
8,0.03,243235,8387413.79,10103,7147,1634,10,0,57731,-1.86,F8
8,0.02,153057,8055631.58,10802,4499,1404,8,0,21759,-0.52,D8
10,0.19,1523189,7974811.52,37825,53866,13833,100,21,389201,0.39,F8
