探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
6,0.06,132449,2365160.71,35867,7737,42,151.00,H8
6,0.05,113078,2405914.89,25354,5715,15,-115.00,B4
8,0.57,1332077,2316655.65,382926,82727,4446,186.00,H8
8,0.59,1341291,2284993.19,304481,66489,2921,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,4689,2344500.00,1677,143,0,-65.00,A5
4,0.00,5867,2933500.00,1808,114,0,109.00,A3
6,0.01,38133,2542200.00,14195,2546,4,-58.00,A8
6,0.04,88650,2273076.92,27043,4772,18,102.00,B3
8,0.08,203230,2419404.76,83263,13320,215,-75.00,A8
8,0.25,586923,2347692.00,184307,29657,1090,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3350,3350000.00,624,30,0,167.00,G7
4,0.00,838,inf,333,42,0,-146.00,G4
6,0.02,38109,2381812.50,7466,714,3,213.00,G7
6,0.00,8757,2919000.00,3667,359,0,-234.00,G8
8,0.17,381782,2232643.27,78781,9908,204,326.00,E1
8,0.02,61325,2555208.33,28926,3201,21,-370.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.01,34519,2465642.86,6081,1096,1,35.00,A1
4,0.01,21948,2438666.67,3958,680,1,22.00,A3
6,0.25,571790,2314939.27,120015,23805,475,29.00,A1
6,0.15,336728,2290666.67,69618,14094,161,12.00,A3
8,3.63,8173871,2249895.68,1856603,387964,114210,32.00,A1
8,1.65,3712052,2251092.78,824900,160384,21772,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4027,4027000.00,970,70,0,11.00,F7
4,0.00,1651,inf,555,60,0,69.00,E3
6,0.01,27630,2302500.00,7641,940,2,38.00,E3
6,0.00,6400,3200000.00,2713,693,1,33.00,F8
8,0.04,100866,2401571.43,33915,4693,27,38.00,E3
8,0.01,19256,2750857.14,9158,1837,3,-2.00,F8

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1562,inf,529,71,0,-92.00,F8
4,0.00,1319,inf,451,52,0,129.00,H6
6,0.00,6510,3255000.00,2542,564,0,-114.00,F8
6,0.00,6992,2330666.67,2760,472,1,134.00,H6
8,0.01,26498,2408909.09,12069,2380,3,-121.00,F8
8,0.01,34865,2324333.33,15904,2431,7,188.00,C2

C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,970,inf,393,46,0,-450.00,B8
4,0.00,1994,inf,587,57,0,466.00,C8
6,0.00,5307,2653500.00,2430,173,1,-478.00,C8
6,0.01,13344,2668800.00,4353,642,0,456.00,H5
8,0.01,21136,2642000.00,10700,721,7,-510.00,C8
8,0.03,58709,2348360.00,22877,3069,14,520.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,6312,3156000.00,1455,227,0,188.00,A6
4,0.00,1387,inf,502,54,0,-109.00,H8
6,0.03,57174,2199000.00,16760,3070,12,139.00,A6
6,0.00,9419,2354750.00,3927,578,0,-128.00,C8
8,0.20,445303,2226515.00,152978,33524,757,144.00,A1
8,0.02,50855,2211086.96,22869,4188,16,-132.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,6304,3152000.00,1725,202,0,-161.00,F1
4,0.00,10198,2549500.00,2263,366,0,191.00,A1
6,0.03,65260,2417037.04,20577,3468,14,-141.00,F1
6,0.05,116813,2290450.98,33779,6961,27,171.00,A1
8,0.18,421838,2330596.69,153693,31461,763,-132.00,F1
8,0.28,650219,2338917.27,241110,60683,1841,161.00,A1

