探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.18,953591,5297727.78,200411,14622,720,6,-13.83,F4
8,0.21,1077103,5178379.81,229683,16861,1090,10,12.11,C3
10,2.48,12078962,4874480.23,2849670,213270,16566,1466,-10.51,F4
10,2.07,10167962,4904950.31,2206265,174151,15838,1062,8.42,C3
12,20.73,99527503,4802292.06,25160263,1958546,178375,134356,-7.68,F4
12,19.66,93853885,4773606.89,20831940,1648713,172675,95885,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.23,1207438,5342646.02,213021,16314,953,5,-9.59,C5
8,0.20,1087062,5435310.00,269955,17333,1616,19,10.52,C6
10,2.09,10598970,5078567.32,1917679,174583,11899,971,-7.81,C5
10,1.75,8932149,5118710.03,2520578,189577,20011,1125,7.47,C6
12,22.92,112542829,4910459.84,20518711,1910558,157501,126451,-7.49,F3
12,24.99,122265269,4892372.01,37993193,2827401,360146,294690,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.07,408514,5446853.33,93524,7288,608,1,16.96,D3
8,0.15,770248,5275671.23,175540,13525,779,12,-17.52,D6
10,0.61,3090225,5074261.08,761319,65299,5265,134,13.49,D3
10,1.86,9393093,5039212.98,2150161,174063,13886,968,-15.50,E3
12,6.88,33660846,4891853.80,8153929,708215,65319,16659,14.34,D3
12,19.33,94421282,4885459.82,21859742,1734128,170744,105018,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.11,548077,5170537.74,195521,18279,918,11,-24.11,C3
8,0.10,569292,5421828.57,82040,10198,597,1,22.51,F5
10,1.02,5050727,4942002.94,1981890,196582,14077,1239,-23.35,C5
10,2.78,13617395,4896582.16,2395614,288168,25472,2678,21.81,C4
12,8.83,42110334,4766847.86,17801936,1741179,171875,105757,-23.45,C5
12,26.72,125556913,4698458.74,21828865,2647373,266471,255019,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.08,445862,5307880.95,121796,9085,310,3,-5.27,F6
8,0.23,1202912,5299171.81,232041,18319,1270,11,4.31,D3
10,0.78,3843142,4933430.04,1154613,94219,4913,271,-5.80,F6
10,1.89,9382749,4956549.92,1945397,180278,16410,1084,2.86,D3
12,7.32,35045861,4788994.40,11415018,979780,78042,32004,-5.52,F6
12,17.02,79950414,4697163.15,16691712,1670330,157337,96868,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.17,892184,5279195.27,214051,20318,997,10,17.08,F3
8,0.15,758699,5024496.69,178763,18518,1106,12,-15.80,D6
10,1.67,8107874,4855014.37,2189455,232808,16990,1722,17.82,H8
10,1.32,6125552,4644087.95,1618795,185683,15269,1187,-14.75,D6
12,15.37,71105932,4625678.64,19888220,2108825,201661,158244,17.96,E2
12,11.38,47992854,4216927.69,11242997,1342821,141649,62146,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.13,605298,4517149.25,154296,12240,661,4,-28.28,E6
8,0.22,1097518,4899633.93,193357,16340,1392,7,27.46,G6
10,1.39,5687403,4091656.83,1596033,132247,8308,557,-24.56,E6
10,2.30,9502483,4138712.11,1763131,168827,14853,899,23.45,C4
12,15.37,63790201,4150305.86,18894196,1540028,123669,81060,-24.23,E6
12,22.29,104790875,4701250.56,19413804,1872595,179167,122734,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.25,1292684,5212435.48,208080,15452,1034,7,27.82,C7
8,0.09,512835,5514354.84,115252,8223,443,1,-29.47,B5
10,3.01,14726493,4892522.59,2266020,179803,16162,1040,25.13,E3
10,1.73,7438846,4297426.92,1927120,145814,7958,651,-24.02,C4
12,31.41,143873100,4579758.08,22847862,1852024,185387,119804,25.81,C7
12,10.36,52432284,5062008.50,13926642,1052505,83366,36945,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.18,1004511,5580616.67,192488,14443,1163,5,23.04,F3
8,0.29,1557179,5425710.80,331061,22521,1330,21,-24.37,H4
10,2.13,10983421,5168668.71,2066640,167489,14470,918,21.16,F3
10,2.41,12089819,5012362.77,2903181,227571,16327,1702,-22.74,C5
12,19.87,100033179,5035396.10,19058739,1569825,142057,83978,22.32,F6
12,14.85,72620287,4890913.73,20433047,1645942,138815,93342,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.12,611705,5183940.68,165835,13503,793,7,-6.53,D6
8,0.08,392144,5159789.47,78684,6938,346,1,4.22,D3
10,0.90,4370151,4844956.76,1366183,124243,8829,507,-6.29,D6
10,0.72,3536126,4877415.17,714558,70815,4784,161,6.27,F8
12,7.00,32880821,4697931.28,11334750,1067510,88068,37982,-6.76,D6
12,5.44,24926606,4579571.19,5162601,579709,44456,11084,5.67,F8

