探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
6,0.50,1389276,2789710.84,208,0,0,160.00,E1
8,5.52,16404757,2974031.36,6982,1020,2,-128.00,A6
8,11.55,32070695,2777404.95,8946,1407,1,176.00,E1
10,97.59,289239755,2963916.86,164629,28197,834,-140.00,F8
10,87.50,243117070,2778544.31,104466,13169,325,188.00,C1

E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.01,27497,2499727.27,0,0,0,40.00,A3
4,0.01,37604,3133666.67,0,0,0,13.00,H6
6,0.25,697400,2745669.29,162,0,0,38.00,C5
6,0.24,686995,2815553.28,150,0,0,14.00,B5
8,5.70,16307600,2859978.95,7168,885,2,34.00,C5
8,4.90,14132524,2884777.30,5660,683,0,14.00,B5
10,125.09,385718293,3083427.61,179706,35074,1001,40.00,C5
10,90.71,291266645,3210823.52,148097,23987,701,10.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.01,46745,3338928.57,0,0,0,158.00,H1
4,0.01,23674,3382000.00,0,0,0,-107.00,G8
6,0.34,1056229,3097445.75,215,0,0,151.00,D8
6,0.24,772649,3246424.37,143,0,0,-119.00,D3
8,6.29,19482069,3097308.27,5927,1293,0,175.00,D8
8,4.22,14070103,3330201.89,6288,474,2,-139.00,D2
10,106.05,331572155,3126505.44,132358,30843,581,192.00,D8
10,68.94,230358325,3341238.18,156088,20307,765,-158.00,D3

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,20793,3465500.00,0,0,0,2.00,A6
4,0.01,19693,3282166.67,0,0,0,32.00,E7
6,0.12,383365,3168305.79,148,0,0,14.00,H6
6,0.07,244809,3353547.95,112,0,0,13.00,G1
8,1.45,4743222,3282506.57,4140,393,0,17.00,H6
8,1.14,3850752,3374892.20,3407,274,0,8.00,B5
10,14.28,47159498,3302485.85,64738,9909,125,20.00,H6
10,14.13,48088252,3403996.04,67184,9775,139,14.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.00,14910,3727500.00,0,0,0,145.00,H8
4,0.00,12144,4048000.00,0,0,0,-73.00,B4
6,0.05,185306,3431592.59,169,0,0,151.00,H8
6,0.05,161085,3158529.41,148,0,0,-115.00,B4
8,0.56,1903401,3398930.36,2717,622,1,186.00,H8
8,0.63,2000792,3191055.82,2086,416,0,-170.00,B4
10,5.74,19236559,3353069.37,34696,8475,33,212.00,H8
10,5.49,17637251,3213784.80,25312,6351,13,-197.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,5013,5013000.00,0,0,0,-65.00,A5
4,0.00,6160,6160000.00,0,0,0,109.00,A3
6,0.01,45250,3770833.33,110,0,0,-58.00,A8
6,0.03,110614,3456687.50,104,0,0,102.00,B3
8,0.07,257809,3906196.97,1441,137,0,-75.00,A8
8,0.23,781545,3325723.40,1741,346,0,109.00,H6
10,0.35,1331740,3826839.08,11019,2356,3,-107.00,A8
10,1.49,5100243,3422981.88,16556,4583,5,130.00,B5

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
