探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.02,40772,2038600.00,7275,1239,3,158.00,H1
4,0.01,20764,2076400.00,11601,2030,5,-107.00,G8
6,0.36,717487,2009767.51,129147,25196,556,151.00,D8
6,0.32,668334,2062759.26,294820,42571,2820,-119.00,D3
8,6.77,13511585,1996392.58,2440616,429902,204016,175.00,D8
8,5.38,11181098,2079430.54,4678455,851983,875852,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,18865,2096111.11,3987,317,0,2.00,A6
4,0.01,18438,2048666.67,7132,555,2,32.00,E7
6,0.15,315127,2086933.77,75857,9730,169,14.00,H6
6,0.10,208051,2144855.67,128154,17336,493,13.00,G1
8,1.76,3600250,2050256.26,918383,139979,26636,17.00,H6
8,1.36,2878064,2111565.66,1633868,273881,89037,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,13199,1649875.00,3339,741,1,145.00,H8
4,0.01,10248,2049600.00,5133,1133,3,-73.00,B4
6,0.07,132449,2006803.03,35867,7737,42,151.00,H8
6,0.06,113078,2055963.64,57111,13452,109,-115.00,B4
8,0.64,1332077,2081370.31,382926,82727,4446,186.00,H8
8,0.65,1341291,2057194.79,640570,149216,13776,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,4689,2344500.00,1677,143,0,-65.00,A5
4,0.00,5867,1955666.67,3264,257,0,109.00,A3
6,0.02,38133,2243117.65,14195,2546,4,-58.00,A8
6,0.04,88650,2110714.29,38651,7318,48,102.00,B3
8,0.09,203230,2209021.74,83263,13320,215,-75.00,A8
8,0.28,586923,2118855.60,256190,42977,2119,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3350,3350000.00,624,30,0,167.00,G7
4,0.00,838,inf,925,72,0,-146.00,G4
6,0.02,38109,1905450.00,7466,714,3,213.00,G7
6,0.00,8757,2189250.00,10651,1073,4,-234.00,G8
8,0.19,381782,1988447.92,78781,9908,204,326.00,E1
8,0.03,61325,2271296.30,103244,13109,356,-370.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.02,34519,1917722.22,6081,1096,1,35.00,A1
4,0.01,21948,1995272.73,9647,1776,4,22.00,A3
6,0.28,571790,2034839.86,120015,23805,475,29.00,A1
6,0.17,336728,2016335.33,183574,37899,1086,12.00,A3
8,3.86,8173871,2115938.65,1856603,387964,114210,32.00,A1
8,1.77,3712052,2096020.33,2530672,548348,220029,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4027,2013500.00,970,70,0,11.00,F7
4,0.00,1651,inf,1436,130,0,69.00,E3
6,0.01,27630,2125384.62,7641,940,2,38.00,E3
6,0.00,6400,3200000.00,9907,1633,4,33.00,F8
8,0.05,100866,2101375.00,33915,4693,27,38.00,E3
8,0.01,19256,2407000.00,41590,6530,58,-2.00,F8

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1562,inf,529,71,0,-92.00,F8
4,0.00,1319,inf,877,123,0,129.00,H6
6,0.00,6510,2170000.00,2542,564,0,-114.00,F8
6,0.00,6992,2330666.67,4709,1036,2,134.00,H6
8,0.01,26498,2408909.09,12069,2380,3,-121.00,F8
