探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
F5F6C4E3F2B4B3D6D3B2E6D2G7F3C6
8,0.05,414230,7670925.93,869,6110,1499,16,0,93743,1.05,F4
8,0.09,682165,7579611.11,3616,7531,2419,33,0,130097,0.64,C3
10,0.62,4505367,7243355.31,7424,73815,21981,175,38,1064245,-0.52,F4
10,0.82,5978963,7309245.72,10250,84580,27847,275,64,1281745,-0.15,C3
12,5.80,40872639,7051870.08,17591,790958,181181,18359,3745,10162506,-0.07,F4
12,7.08,50852581,7186628.18,35194,831128,189162,20638,3801,11309686,1.68,C3

E6F4E3F6D3C5B6D6D7E2G7C7E7A5F1
8,0.07,489041,7191779.41,2344,8689,2758,49,0,111482,19.91,B5
8,0.04,273466,6669902.44,1319,7423,2767,36,0,83320,-15.57,F5
10,0.66,4699851,7153502.28,6943,92562,23218,402,64,1068675,17.12,C6
10,0.61,4461415,7337853.62,9609,113418,29732,481,75,1349242,-16.44,B5
12,6.12,42409375,6930768.92,16571,940153,166856,26095,3612,9768672,17.36,C6
12,6.35,45263309,7131449.35,33613,1296209,240924,49179,7618,14404833,-15.05,B5

D3C3E6F4G3D6B3F5G6G5F6E7G7H2G4
8,0.04,332394,7386533.33,1784,5564,1445,34,0,63592,16.48,F7
8,0.03,210863,7028766.67,1791,5579,1759,45,0,67267,-15.40,F8
10,0.50,3478742,7013592.74,5175,64941,13379,201,15,653070,18.07,F7
10,0.36,2611408,7193961.43,10428,83686,29048,299,60,946547,-17.23,C5
12,4.00,27472611,6863005.50,12695,550563,91105,9217,1211,5133659,17.95,F7
12,3.10,21688042,7007444.91,16913,894168,204112,23566,5077,9019318,-15.36,C5

C4C5F6D3C6B6D2C7B7A7A6B5A5C3B2
8,0.02,129917,7642176.47,416,2550,471,17,0,24482,1.88,E6
8,0.01,91153,6510928.57,1275,2707,855,37,0,29817,1.58,A8
