探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.01,14910,2982000.00,,,,145.00,H8
4,0.00,12144,3036000.00,,,,-73.00,B4
6,0.07,185306,2609943.66,,,,151.00,H8
6,0.06,161085,2556904.76,,,,-115.00,B4
8,0.86,2278359,2636989.58,,,,186.00,H8
8,0.93,2328971,2517806.49,,,,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,5013,2506500.00,,,,-65.00,A5
4,0.00,6160,3080000.00,,,,109.00,A3
6,0.02,45250,2828125.00,,,,-58.00,A8
6,0.04,110614,2697902.44,,,,102.00,B3
8,0.09,273608,2910723.40,,,,-75.00,A8
8,0.31,862784,2765333.33,,,,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3524,3524000.00,,,,167.00,G7
4,0.00,987,inf,,,,-146.00,G4
6,0.02,44914,2363894.74,,,,213.00,G7
6,0.00,10879,3626333.33,,,,-234.00,G8
8,0.21,519453,2485421.05,,,,326.00,E1
8,0.03,79327,2938037.04,,,,-370.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.02,41233,2577062.50,,,,35.00,A1
4,0.01,25335,2303181.82,,,,22.00,A3
6,0.33,836873,2505607.78,,,,29.00,A1
6,0.20,507242,2523592.04,,,,12.00,A3
8,5.98,15026159,2512315.50,,,,32.00,A1
8,2.70,6729438,2495156.84,,,,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4313,4313000.00,,,,11.00,F7
4,0.00,1737,inf,,,,69.00,E3
6,0.01,33007,2750583.33,,,,38.00,E3
6,0.00,8675,2891666.67,,,,33.00,F8
8,0.05,136923,2794346.94,,,,38.00,E3
8,0.01,33330,3030000.00,,,,-2.00,F8

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1772,inf,,,,-92.00,F8
4,0.00,1446,inf,,,,129.00,H6
6,0.00,9671,2417750.00,,,,-114.00,F8
6,0.00,8760,2920000.00,,,,134.00,H6
8,0.02,48774,2709666.67,,,,-121.00,F8
8,0.02,51003,3000176.47,,,,188.00,C2

