探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
10,0.25,2144362,8681627.53,5325,36086,8283,85,6,501649,-10.51,F4
10,0.36,3081546,8656028.09,2322,60946,16494,140,27,772877,8.42,C3
12,1.82,15051743,8270188.46,6859,295668,51518,2572,356,3467209,-7.68,F4
12,2.49,21577497,8676114.60,7844,451493,75787,6125,544,5516130,7.34,G3
14,14.65,123185816,8408588.12,21877,2507256,340016,178605,20976,29422214,-6.26,F4
14,30.93,261467581,8454346.72,28664,5114561,1532698,717269,194736,71283420,5.23,B5

E6F6F5D6C4G4G7B3F4G3
10,0.24,2055951,8638449.58,3039,31499,5637,71,6,379230,-7.81,C5
10,0.46,4055131,8777339.83,5802,88384,29889,326,75,1220880,7.47,C6
12,3.71,31576271,8522610.26,12400,484054,121611,6946,1516,6000683,-7.49,F3
12,4.07,35191927,8657300.62,13138,940030,278398,25935,7316,11927469,8.03,G5
14,35.79,297241361,8306079.50,21512,4288970,831384,508925,92035,55878322,-6.28,F3
14,35.83,306875990,8564538.81,24928,7192020,1702869,1384020,307597,113748009,6.01,G5

E6F6C4E7E8C3C2C5C6B2
10,0.08,687672,8489777.78,828,14130,1610,37,0,157350,13.49,D3
10,0.44,3776121,8621280.82,6084,66600,20669,227,55,912587,-15.50,E3
12,1.40,11743074,8399909.87,7615,211738,51175,1396,300,2673031,14.34,D3
12,3.18,26849931,8454008.50,11381,497503,126392,7282,1988,6378877,-14.50,E3
14,8.79,73283379,8341875.81,10273,1462842,286185,62208,7329,16935562,13.57,D3
14,15.45,129076329,8356618.48,14227,2707695,379374,208539,21737,32621782,-13.40,D6

E6F4F3D6G4F6E7F8G7F7
10,0.18,1581028,8783488.89,2367,64573,14160,222,31,645361,-23.35,C5
10,0.35,2940225,8400642.86,1179,59703,7837,181,15,564929,21.81,C4
12,1.35,11782399,8753639.67,4263,529749,94370,8667,1318,5103795,-23.45,C5
12,2.65,21550347,8141423.12,3366,472258,43293,6666,381,4141270,21.69,C4
14,10.59,91303337,8624099.08,4975,3916696,540527,427992,55968,40625359,-22.13,C5
14,19.68,155007984,7877222.48,7285,3304459,318421,307853,23083,30056114,20.82,C4

E6F4G3D6C7F5E3F2C3E7
10,0.08,678271,8808714.29,2521,16554,2276,46,1,197969,-5.80,F6
10,0.23,1938475,8464956.33,1542,33897,5553,70,3,388951,2.86,D3
12,0.80,6874824,8647577.36,6144,193480,26708,1202,87,2130874,-5.52,F6
12,2.25,18669217,8290060.83,6094,354860,58231,3629,304,3805292,2.71,D3
14,5.52,47171263,8548615.98,8071,1525953,176325,67583,4870,16292424,-5.52,F6
14,17.36,140635377,8099250.00,12733,2588549,428293,191389,18874,27796090,3.20,D3

E6F6D3E3G6G7F5G5H7F4
10,0.32,2647804,8300326.02,2836,78087,21137,299,48,767666,17.82,H8
10,0.16,1316413,8227581.25,2254,41615,7528,132,7,360761,-14.75,D6
12,1.82,15113419,8313211.77,6708,504563,91203,7501,924,4533133,17.96,E2
12,1.97,16163145,8221335.20,6753,462803,80217,6506,778,4174273,-15.74,D6
14,16.27,131390294,8074128.56,16905,4116101,893499,471214,82457,41236775,15.23,E2
14,16.26,127970370,7870256.46,17795,3596945,585397,362936,47084,33740164,-15.38,D6

F5F6D3C5B5F4G4F3G7C2
10,0.20,1695207,8476035.00,3478,41668,11887,100,4,515949,-24.56,E6
10,0.44,3591728,8237908.26,3056,65874,19277,197,36,785548,23.45,C4
12,2.17,18610943,8564630.92,13348,468720,127812,6717,1496,5850257,-24.23,E6
12,4.46,36880072,8276497.31,9043,707702,160989,14843,3106,7990678,23.23,C4
14,22.64,193076420,8526603.96,29142,4641649,830470,592133,94657,63924190,-22.95,E6
14,43.89,357205302,8138092.68,22077,5797115,952563,913063,141534,75486561,21.66,C4

E6F4F3D6F5E7C5G4C3G2
10,0.24,2084820,8614958.68,159,31406,1117,44,0,365715,25.13,E3
10,0.11,937915,8765560.75,599,18087,1651,38,1,219525,-24.02,C4
12,2.89,24532119,8494501.04,7996,367767,86868,3970,587,4555778,25.81,C7
12,1.97,17658325,8945453.39,16566,407604,92939,5076,864,5533975,-27.24,C6
14,27.37,227227257,8302358.76,13276,3186415,565214,286814,37816,40972599,24.79,C7
14,17.50,150592875,8604323.79,43272,3605407,691524,364992,58431,51362841,-25.70,C6

F5F4C3D6G4B2E6G3C6E7
10,0.32,2660248,8210641.98,3196,41899,10487,82,5,540390,21.16,F3
10,0.47,3944761,8339875.26,5969,73230,21142,256,35,1018583,-22.74,C5
12,2.18,16774432,7705297.20,9047,276826,41901,2319,225,3226463,22.32,F6
12,1.51,12004792,7971309.43,5774,286552,41174,2509,239,3396488,-22.57,C5
14,15.71,127808411,8133928.02,19136,2209890,277972,139934,11402,25218751,20.64,F6
14,12.78,107852240,8442445.40,24613,2572738,372996,187884,18928,31989002,-22.03,C5

F5F4C3F6G4F3G3H3F7E6
10,0.10,858124,8331300.97,1146,24303,6626,51,7,255882,-6.29,D6
10,0.14,1126481,8222489.05,1446,22471,6085,40,2,237131,6.27,F8
12,0.80,6437667,8017019.93,4926,210665,66233,1441,422,2159885,-6.76,D6
12,1.03,7953136,7744046.74,3647,175654,36685,1003,198,1647899,5.67,F8
14,4.98,39954108,8019692.49,9118,1475150,323265,63447,13188,14042067,-6.76,D6
14,5.68,43972158,7747032.77,5997,977713,104697,28227,1525,8782037,3.83,D3

