探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C3B3C5D6E3F3C7B6B5C6A7F6F5C4A2A5F2D7E7B7G3G6E6E2E1F4H6D2A8B4A4E8A3G1D1G7F7F1F8B8H1
18,0.62,6864213,11053483.09,1214555,219991,377614,5429,2531,2729777,4.00,A6
17,0.16,3184831,19781559.01,4766,75258,14513,1198,22,2432520,-4.00,D8

F5F6C4F4E6C3D3D7G7C5B3B2B1F3B5A5A6D2G4H3F2A2E2G3B4C2A1A7G6G2B6H6H7E3D1C1F1F8C8E1C6F7
18,1.33,22045087,16550365.62,745068,603576,170144,32707,3402,15368938,20.00,H8
17,1.09,19547901,17933854.13,118364,490487,102638,25537,1280,14700634,-20.00,D6

D3C5F6F3F5E3B5G7G2D2C2A5D1G3G4H3E2F1C4B3F7E7G1E1F2B1E6C1B4G5D6F4G8F8G6A3D8C3A2H2A1H6
18,0.35,6592345,18622443.50,554867,157133,109206,13658,366,3427673,46.00,E8
17,0.09,2108729,22674505.38,4487,47990,5812,6025,4,1620472,-46.00,C6

D3E3F2C5D6C2C3C4B3E7D1E2D2A3B4B1F8A4F3G3F5C6G4G6B6E1F1H5A5A7A6B5C1B2H4E6A8C7H6H3C8H7
18,0.09,1109107,12461876.40,166150,54317,28737,3253,39,493242,42.00,A1
17,0.01,221519,14767933.33,8118,11701,2511,1535,2,145510,-42.00,A2

E6F6C4C3C2C5G6E3F4D3E2E7E8B3A2D2D1F5C6B5D6F8G4C7D8H6B7D7A4C8B4F7G7A6A8B6H7H5G8B8H4B2
18,0.07,1083028,15253915.49,7998,51787,5258,1467,17,794081,-14.00,A1
17,0.07,971647,13495097.22,152128,44965,23772,1089,42,373314,14.00,G5

F5F4C3C4E3F6G4F3C5B5E2G2E6C6C7B4A3E1F7E7D6C2B3D7C1B6C8D3G3H5F1E8H4B2H3G1A6A4F8D1F2G8
18,0.19,2531171,13535673.80,442562,107983,53161,6505,224,991232,20.00,H1
17,0.12,1727840,13934193.55,54868,82495,23233,6594,40,1187604,-20.00,D2

D3C3C4E3C2B3A4D6E6A3D7C7F5A5C6D2B8F4F3G6D1G3A2B1B4D8C1B5C5G5H7G4G2H4E7A1A6E1F2H2H3H6
18,0.21,3515523,16820684.21,1833,161721,18777,13070,82,2656336,-34.00,B2
17,0.21,2943198,14218347.83,505925,119760,113550,6472,344,933245,34.00,C8

D3C3E6D6C4E3D7E7F4B3F8F5B4G3F7C5G4F3C6D8H2H4F6B5C7B8A3B2C8D2F2E2A5B7B1E1E8G7C2A2A1B6
18,3.85,76019536,19729960.03,5820221,1574896,918872,117742,43083,45746436,50.00,H8
17,0.37,8242573,22277224.32,2711,184314,16489,11716,71,6379332,-50.00,G6

C4C3D3C5C6C7B7E6B5F3C8A8F6A5B3D7F4G6F2E2D1F1C2A2A4G4G7D2G5B1E7F7E1A3C1G8E8F5E3D8H3B6
