探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
4,0.02,40772,2038600.00,7275,1239,3,158.00,H1
4,0.01,21015,2101500.00,11601,2197,5,-107.00,G8
6,0.35,717487,2044122.51,129147,25196,556,151.00,D8
6,0.33,689482,2108507.65,295663,53089,2859,-119.00,D3
8,6.57,13511585,2057810.69,2440616,429902,204016,175.00,D8
8,5.45,11849014,2174530.01,4712200,1164402,897772,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,18865,2096111.11,3987,317,0,2.00,A6
4,0.01,18539,2059888.89,7132,580,2,32.00,E7
6,0.15,315127,2100846.67,75857,9730,169,14.00,H6
6,0.10,214401,2144010.00,128233,20721,494,13.00,G1
8,1.70,3600250,2114063.42,918383,139979,26636,17.00,H6
8,1.39,3055536,2206163.18,1638640,374171,90197,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,13199,2199833.33,3339,741,1,145.00,H8
4,0.00,10362,2590500.00,5133,1199,3,-73.00,B4
6,0.06,132449,2136274.19,35867,7737,42,151.00,H8
6,0.06,119730,2176909.09,57292,16834,110,-115.00,B4
8,0.60,1332077,2205425.50,382926,82727,4446,186.00,H8
8,0.66,1472069,2223669.18,644551,214475,14067,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,4689,2344500.00,1677,143,0,-65.00,A5
4,0.00,5887,2943500.00,3264,262,0,109.00,A3
6,0.02,38133,2243117.65,14195,2546,4,-58.00,A8
6,0.04,90652,2158380.95,38707,8385,49,102.00,B3
8,0.09,203230,2309431.82,83263,13320,215,-75.00,A8
8,0.28,602271,2174263.54,256760,50776,2136,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3350,3350000.00,624,30,0,167.00,G7
4,0.00,868,inf,925,98,0,-146.00,G4
6,0.02,38109,2005736.84,7466,714,3,213.00,G7
6,0.00,9465,2366250.00,10669,1606,4,-234.00,G8
8,0.19,381782,2009378.95,78781,9908,204,326.00,E1
8,0.03,66259,2454037.04,103254,16896,356,-370.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.02,34519,2030529.41,6081,1096,1,35.00,A1
4,0.01,22343,2031181.82,9647,1923,4,22.00,A3
6,0.28,571790,2071702.90,120015,23805,475,29.00,A1
6,0.17,360249,2082364.16,184280,49660,1107,12.00,A3
8,3.98,8173871,2051674.45,1856603,387964,114210,32.00,A1
8,1.94,3999504,2063727.55,2536033,706902,222483,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4027,2013500.00,970,70,0,11.00,F7
4,0.00,1651,inf,1436,129,0,69.00,E3
6,0.01,27630,2125384.62,7641,940,2,38.00,E3
6,0.00,6842,2280666.67,9907,1943,4,33.00,F8
8,0.05,100866,2101375.00,33915,4693,27,38.00,E3
8,0.01,21784,2723000.00,41590,8006,58,-2.00,F8

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1562,inf,529,71,0,-92.00,F8
4,0.00,1325,inf,877,124,0,129.00,H6
6,0.00,6510,3255000.00,2542,564,0,-114.00,F8
6,0.00,7375,2458333.33,4716,1208,2,134.00,H6
8,0.01,26498,2408909.09,12069,2380,3,-121.00,F8
8,0.02,40022,2501375.00,23821,7009,21,188.00,C2

C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,970,inf,393,46,0,-450.00,B8
4,0.00,2006,inf,872,103,0,466.00,C8
6,0.00,5307,2653500.00,2430,173,1,-478.00,C8
6,0.01,13847,2307833.33,6088,1074,1,456.00,H5
8,0.01,21136,2348444.44,10700,721,7,-510.00,C8
8,0.03,63898,2282071.43,30478,6287,34,520.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,6312,2104000.00,1455,227,0,188.00,A6
4,0.00,1408,inf,1866,295,0,-109.00,H8
6,0.03,57174,2117555.56,16760,3070,12,139.00,A6
6,0.00,10273,2568250.00,19990,4261,14,-128.00,C8
8,0.20,445303,2182857.84,152978,33524,757,144.00,A1
8,0.02,60408,2517000.00,170370,43504,925,-132.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,6304,2101333.33,1725,202,0,-161.00,F1
4,0.01,10324,2064800.00,3584,619,0,191.00,A1
6,0.03,65260,2105161.29,20577,3468,14,-141.00,F1
6,0.06,127734,2240947.37,47253,16991,81,171.00,A1
8,0.19,421838,2231947.09,153693,31461,763,-132.00,F1
8,0.32,805077,2523752.35,335622,186101,4283,161.00,A1

