探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
10,0.77,5996497,7807938.80,5348,125398,68224,593,271,1918020,-5.31,D7
12,4.16,31825031,7653927.61,1984,495777,90813,7286,559,5493106,3.87,B4
12,6.82,53004501,7767365.33,7998,1373421,753937,54939,28210,18948063,-5.15,D7

F5F6C4E3F2B4B3D6D3B2E6D2G7F3C6
8,0.06,473716,8029084.75,1365,5699,2782,18,1,104873,1.05,F4
8,0.09,707598,7950539.33,2768,7433,3235,33,3,137440,0.64,C3
10,0.63,5005672,7907854.66,4370,70195,38063,169,64,1217616,-0.52,F4
10,0.75,5995749,7973070.48,6566,77220,37361,236,73,1273885,-0.15,C3
12,5.95,46665750,7840347.78,10647,752359,410159,16680,6644,12163089,-0.07,F4
12,6.15,48101761,7821424.55,11644,741325,270245,16335,3657,10711858,1.68,C3

E6F4E3F6D3C5B6D6D7E2G7C7E7A5F1
8,0.07,503336,7743630.77,3042,8346,4025,67,0,114945,19.91,B5
8,0.04,308199,7902538.46,1286,7804,3294,41,0,94313,-15.57,F5
10,0.49,3850434,7794400.81,6394,68970,26426,259,29,865293,17.12,C6
10,0.50,3958734,7965259.56,5815,89778,44305,359,90,1193967,-16.44,B5
12,3.60,27106083,7529467.50,9343,576593,167665,10055,1511,6198303,17.36,C6
12,4.58,35276664,7705693.32,10803,955258,348755,26761,6335,11235996,-15.05,B5

D3C3E6F4G3D6B3F5G6G5F6E7G7H2G4
8,0.04,340842,7926558.14,1292,5484,2143,38,0,64399,16.48,F7
8,0.03,204179,7853038.46,1537,5099,2031,57,0,65047,-15.40,F8
10,0.41,3150253,7740179.36,3349,55303,17768,198,21,585374,18.07,F7
10,0.25,2024285,8129658.63,3410,67560,26510,223,24,781560,-17.23,C5
12,2.59,20796167,8032509.46,5616,368980,114446,4137,701,3714474,17.95,F7
12,2.45,20363057,8314845.65,8879,753551,288676,16802,4608,8534050,-15.36,C5

C4C5F6D3C6B6D2C7B7A7A6B5A5C3B2
8,0.02,144201,8482411.76,345,2474,844,26,0,27403,1.88,E6
8,0.01,67352,8419000.00,484,2156,530,35,0,22281,1.58,A8
10,0.18,1502641,8256269.23,1886,25282,10072,85,6,285595,2.26,E6
10,0.05,390467,8488413.04,1016,12775,2799,63,0,139488,1.03,A8
12,1.56,12522075,8021828.96,5110,220083,80810,1575,299,2355455,2.41,E6
12,0.54,4290134,8003981.34,2960,141911,27426,755,62,1571634,0.32,A8

C4E3F2E2F5C6D2C5B5D6D3A4D7E8D8
8,0.02,179319,8150863.64,546,2784,691,23,0,32415,6.70,F3
8,0.03,235874,8133586.21,1383,4642,3278,31,2,73123,-9.35,F8
10,0.23,1765513,7846724.44,1798,29823,8148,70,4,334007,5.90,F3
10,0.21,1693761,8104119.62,2315,39335,23677,92,19,572340,-7.45,F8
12,1.23,9314529,7554362.53,1991,174665,35917,968,64,1684442,8.70,C8
12,2.03,17462520,8610710.06,6073,495592,339005,7216,3967,6940296,-9.41,C7

D3E3F3C3E6F4C5E7G5G2F7G4F5D2H3
8,0.09,801228,8615354.84,2945,10443,5930,58,1,197942,-10.20,C4
8,0.12,1065279,8803958.68,2240,13745,3877,31,2,234308,4.58,B4
10,0.67,5934192,8830642.86,5686,98829,41431,409,93,1573434,-6.67,C4
10,0.75,6392055,8500073.14,4582,89659,39408,266,72,1423657,5.22,B4
12,4.93,42277563,8570355.36,11303,907143,459603,24068,10637,12788293,-7.16,C4
12,5.89,48490302,8227061.76,9061,850110,289336,21291,4019,11439690,3.89,B4

F5F4E3D6C6C5C4B4F3B6B3G2A7G4A4
8,0.06,499891,8618810.34,1972,7015,2884,34,0,117072,-8.99,G6
8,0.06,461827,8396854.55,1047,4793,2250,29,0,86333,10.82,F6
10,0.40,3495769,8652893.56,3905,64114,27640,153,28,935606,-7.88,F6
10,0.39,3319166,8510682.05,3055,44217,14559,99,13,656731,10.23,C7
12,4.34,36412319,8384139.77,11770,729679,309917,15964,4700,9957869,-8.36,E6
12,2.04,15680966,7679219.39,3587,341335,96685,3550,740,3685220,6.80,C7

F5D6C5B6C4F4E6E3G3B4D2F7A4B3B2
8,0.05,386310,8219361.70,1260,4506,1575,38,0,67434,22.34,A3
8,0.03,268592,8139151.52,1403,4442,1727,33,0,74921,-20.37,C6
10,0.33,2686644,8116749.24,2847,37855,12812,98,9,514890,19.76,F3
10,0.20,1642892,8297434.34,981,29497,5490,47,4,450958,-20.27,D3
12,2.75,21586011,7855171.40,5122,332970,108964,3357,686,4177118,20.95,F3
12,1.70,14712765,8659661.57,1566,301604,61921,2816,302,4449354,-19.42,D3

F5F4G3E6F7H2D3E7E8C4C3G8C5G6G5H6G4D7H5H3F3F2C8B3G2E3D6H4C2C7
8,0.03,199889,7995560.00,975,5950,3866,32,0,60939,-1.86,F8
8,0.02,136247,7569277.78,259,4016,1979,17,0,34900,-0.52,D8
10,0.18,1344014,7425491.71,2292,46024,32174,132,37,410683,0.39,F8
10,0.10,717755,7250050.51,433,24955,11195,42,3,195680,-1.10,D8
12,1.01,6989763,6913712.17,3915,277461,185619,2414,998,2150052,0.40,F8
12,0.55,3787288,6873480.94,1051,149846,61118,779,124,1076470,-0.46,D8

F5F6D3E3F7C5D6C6F2C4B6G6C3C2H5G7E2E7C1B1F3G5H7B5E6E1H4C7B4G3
8,0.03,263052,7736823.53,552,4636,1142,27,0,48938,19.62,F4
8,0.01,105575,7541071.43,356,3701,1019,27,1,35602,-16.58,D1
10,0.29,1960220,6713082.19,1646,47948,20509,132,21,439238,18.76,A1
10,0.16,1103547,6984474.68,1926,38558,16027,91,11,396990,-19.67,H6
12,1.36,8933265,6578251.10,3690,274115,136118,2287,585,2273252,20.22,A1
12,0.86,6098862,7116525.09,3252,256660,124940,2047,618,2284757,-18.98,H6

D3E3F6C2F3F5C3F7G5C4B1C1B5G3B2A2A1B4A3A6D2G6G7H7F2E6E7F1C6G4
8,0.09,723629,8414290.70,900,7575,2450,28,0,99763,48.93,F4
8,0.04,339740,8940526.32,1000,10923,3437,41,2,157455,-48.10,C5
10,0.70,5427807,7754010.00,1783,79350,23203,254,30,841585,47.26,F4
10,0.23,1867896,8051275.86,2044,75416,20676,261,42,891681,-47.85,E2
12,3.37,25395995,7538140.40,2007,494884,112230,7414,817,4399949,46.95,B3
12,2.40,20472667,8519628.38,3641,914240,272905,24639,4905,9913980,-47.61,C5

C4C3C2C5C6D6E6B2D3C1B3C7D1A3A4F4B7A5A2A7F5E2F3F1D2B6C8D8F2G2
8,0.01,99208,7631384.62,698,3174,2091,28,1,35536,-7.13,E3
8,0.02,125831,7401823.53,460,2495,778,29,0,23665,13.14,A1
10,0.05,325149,7068456.52,921,13839,6042,59,2,123542,-9.60,B1
10,0.09,647408,6961376.34,381,18128,5210,54,2,138758,12.87,B8
12,0.21,1534187,7202755.87,1349,77215,27894,299,32,618178,-11.01,B1
12,0.43,2784728,6536920.19,562,98879,29657,340,46,684540,9.08,B8

D3C3E6F6C4E7F7E3F5B4F3G5E8F4G6C6C2G7A4D7C8C1B1C7E2D6F8A1B6B5
8,0.09,688525,8100294.12,2516,12547,6368,49,3,174979,-3.08,C5
8,0.06,455874,8140607.14,1523,7981,3257,35,0,110484,3.53,D2
10,0.70,5491016,7821960.11,7813,134987,59543,656,128,1501747,-2.83,G4
10,0.21,1632102,7626644.86,1795,40233,8016,101,0,377052,3.80,C5
12,4.04,28843156,7137628.31,14757,860730,385316,22028,5128,8212710,-3.55,D2
12,1.97,14320257,7283955.75,3581,514294,119461,8033,1057,4242622,3.15,G4

C4E3F4G3E6C5C6D6E2E7F7B5E8G8G7D3B4F1G5B6A5C3H2F3C7A4E1F2F6A6
8,0.04,294751,8187527.78,1548,7419,3022,35,0,100550,-16.91,B7
8,0.07,557385,7962642.86,929,8175,2453,24,0,100176,20.88,D2
10,0.13,960788,7686304.00,2585,29913,8919,76,5,329435,-18.76,D2
10,0.36,2665882,7446597.77,1392,61702,20872,143,10,607905,21.19,D1
12,0.83,6382395,7652751.80,3654,281340,53971,2402,195,2461940,-20.59,D2
12,2.21,15756589,7145845.35,2552,443807,205537,5861,1504,3938255,23.20,F5

D3E3F3E2F2G4F6C2C3G2H1C4D1D2C1C5F1G3G5E6D6G7G6E7F7G8B6H4B1F4
8,0.06,448391,7730879.31,1373,8730,2834,22,0,107085,9.97,B2
8,0.03,223194,7696344.83,900,6076,2924,28,0,68710,-7.04,H3
10,0.18,1376065,7478614.13,1456,33848,8450,59,4,327177,10.36,F5
10,0.25,2033455,8133820.00,2409,49331,31612,133,35,626919,-7.69,G1
12,1.79,12723257,7092116.50,2193,446601,111713,6148,1067,3549492,9.62,B2
12,1.71,12663674,7405657.31,6219,492192,219165,7279,2321,4583606,-8.68,H3

F5F6D3G5G7C2H5D6C3C4B2E6B1C1B3G6F7B5D1F8E8D8E7H4G4H6E3A1B4C5
8,0.01,84549,7686272.73,393,2637,862,16,0,24896,-5.62,D2
8,0.02,178689,7769086.96,909,4045,1669,32,0,41623,4.10,F4
10,0.05,345600,6912000.00,521,14440,4494,33,2,107303,-3.38,D2
10,0.10,708371,7155262.63,1257,23638,9504,54,3,199598,2.25,F4
12,0.23,1524834,6777040.00,818,73167,22010,216,28,476814,-2.37,D2
12,0.54,3800136,7103057.94,2034,158154,62024,859,206,1178474,2.07,F4

F5D6C5F6F7F4F3B6C4E3C7G7H7G5A5F8C3G2H1B8G4G3D7C6H2B3B7E6H4B5
8,0.03,227629,7849275.86,805,6217,3011,37,1,65547,6.22,B4
8,0.03,190062,7602480.00,595,4660,1818,30,0,46772,-4.65,D3
10,0.17,1327121,7760941.52,1756,45615,21293,139,27,427000,6.77,B4
10,0.13,962694,7580267.72,1140,30072,11457,69,0,248460,-4.12,D3
12,0.92,6594556,7167995.65,3062,284284,119353,2559,582,2244403,6.04,B4
12,0.81,5801166,7161933.33,1860,232135,70935,1685,245,1592826,-3.78,D3

D3C5B6C3C6D2E3F3G2B5E6H1B2C4F2E7E8F5G3F4E2B7A5G4C2G1C7A1B4D7
8,0.06,491532,8057901.64,842,6458,1100,24,0,81571,-2.85,D6
8,0.13,1075965,8151250.00,4689,14408,9685,68,2,292751,4.58,B1
10,0.52,4205031,8086598.08,1355,69513,15400,184,18,766324,-1.52,D6
10,0.98,7793601,7985246.93,8107,134658,81756,616,240,2207622,2.99,B1
12,3.27,22550322,6902455.46,3261,487062,132888,6957,897,4466944,-2.57,D6
12,4.90,38008377,7750484.71,11565,829199,465999,20723,8751,11311303,3.27,F6

E6F6F5D6C5F4D7B6B4C7B7C8E3A7E7D3C4F3G7E8D8C6C3F7G8A4G3D2A6E2
8,0.02,137438,7635444.44,288,3409,926,13,0,27907,14.28,A8
8,0.01,91056,7588000.00,443,3915,2099,18,0,35610,-16.71,F8
10,0.11,740542,6920953.27,677,23011,7010,50,1,165328,14.64,A8
10,0.08,569009,7202645.57,855,27414,14602,55,10,230283,-15.28,F8
12,0.55,3501831,6366965.45,1002,134604,43616,608,68,841793,14.52,A8
12,0.84,5970581,7133310.63,1631,372765,122140,4238,812,2503650,-15.34,G5

C4E3F6C6C5E6F4F3C7G7F5C3D3B5B2A1A6C8C2A4B7G4A5D6D7A7A2B8G2C1
8,0.03,258420,8336129.03,648,5212,2151,19,0,57248,-7.42,E7
8,0.03,238337,8218517.24,849,6246,2501,24,3,71942,8.50,F2
10,0.25,2011347,8077698.80,1209,52622,17609,125,20,500770,-10.33,E7
10,0.28,2045078,7356395.68,2486,66695,34277,182,68,691373,11.99,F2
12,1.59,12080846,7612379.33,2349,392075,140429,4570,1021,3245155,-11.21,F2
