探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
8,0.02,135215,6146136.36,491,4092,161,22,0,34581,16.46,E6
8,0.05,344879,6632288.46,1181,9443,2324,40,0,95521,-15.50,F7
10,0.17,1090843,6379198.83,4816,39629,5009,119,2,308338,17.82,E6
10,0.26,1508123,5868182.88,2305,53474,9654,158,9,434376,-15.82,C6
12,1.21,6998832,5774613.86,3218,291742,38561,2647,198,2094827,18.84,E6
12,1.95,11678013,5997952.23,6981,467896,63093,6564,607,3474858,-18.69,C6

C4C3D3E3F4C5E2F1C6F3D2E6F6F2G2
8,0.07,477603,7023573.53,844,5481,736,23,0,68113,26.42,G1
8,0.05,337872,7188765.96,2274,7810,1907,41,1,111255,-25.92,E7
10,0.62,4140770,6689450.73,2244,55669,7094,132,8,622407,26.40,G1
10,0.23,1634226,6954153.19,4615,44950,7077,105,5,566715,-25.47,D6
12,4.94,32391281,6555612.43,9100,493930,41223,7331,441,4949178,28.24,G1
12,2.22,15186557,6834634.11,48130,484596,94635,7041,1013,5655943,-25.12,D6

E6F4E3D6C4D2F5B4D3F7C6C3D7D8G8
8,0.01,94098,7238307.69,456,3046,647,30,0,32806,-5.20,F3
8,0.05,287040,6240000.00,386,4886,863,25,1,49474,6.92,E2
10,0.17,1187709,6786908.57,2160,42315,12340,115,15,472203,-3.72,F6
10,0.19,1314797,6777304.12,854,21662,3894,45,0,209638,8.29,E7
12,1.32,9319328,7033455.09,3268,365457,41083,4009,382,3978348,-6.24,F3
12,3.13,20733782,6626328.54,1942,353379,25987,3751,232,3375161,6.56,C5

E6F6D3C3C4D6F7E7C2B3B5E3E2C5C6
8,0.08,538015,6810316.46,1286,6309,903,40,0,89695,2.90,B4
8,0.11,788168,6913754.39,2646,14126,6523,52,0,228304,-3.61,D7
10,0.80,5308658,6611031.13,2843,74904,13487,240,20,924266,1.86,B4
10,0.91,5946892,6571151.38,9525,133445,49414,623,189,1850999,-5.31,D7
12,7.50,48657975,6485135.95,43988,799219,150299,18830,2550,8722499,3.87,B4
12,7.79,49033274,6295195.02,16280,1391315,493021,56356,23715,16912976,-5.15,D7

F5F6C4E3F2B4B3D6D3B2E6D2G7F3C6
8,0.07,414230,5523066.67,869,6110,1499,16,0,93743,1.05,F4
8,0.12,682165,5931869.57,3616,7531,2419,33,0,130097,0.64,C3
10,0.70,4505367,6454680.52,7424,73815,21981,175,38,1064245,-0.52,F4
10,0.97,5978963,6183002.07,10250,84580,27847,275,64,1281745,-0.15,C3
12,6.34,40872639,6446788.49,17591,790958,181181,18359,3745,10162506,-0.07,F4
12,7.86,50852581,6471440.70,35194,831128,189162,20638,3801,11309686,1.68,C3

E6F4E3F6D3C5B6D6D7E2G7C7E7A5F1
8,0.07,489041,6986300.00,2344,8689,2758,49,0,111482,19.91,B5
8,0.04,273466,6511095.24,1319,7423,2767,36,0,83320,-15.57,F5
10,0.73,4699851,6455839.29,6943,92562,23218,402,64,1068675,17.12,C6
10,0.66,4461415,6759719.70,9609,113418,29732,481,75,1349242,-16.44,B5
12,6.62,42409375,6406250.00,16571,940153,166856,26095,3612,9768672,17.36,C6
12,6.87,45263309,6589504.88,33613,1296209,240924,49179,7618,14404833,-15.05,B5

