探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.01,27497,3055222.22,,,,40.00,A3
4,0.01,37604,3133666.67,,,,13.00,H6
6,0.21,697400,3289622.64,,,,38.00,C5
6,0.21,686995,3255900.47,,,,14.00,B5
8,5.28,17366789,3289787.65,,,,34.00,C5
8,4.62,15168498,3286781.80,,,,14.00,B5
10,150.41,493510900,3281038.87,,,,40.00,C5
10,104.32,342577752,3283849.54,,,,10.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.01,46745,3338928.57,,,,158.00,H1
4,0.01,23674,3382000.00,,,,-107.00,G8
6,0.34,1056229,3134210.68,,,,151.00,D8
6,0.23,772649,3301918.80,,,,-119.00,D3
8,7.79,24550017,3150265.24,,,,175.00,D8
8,4.50,15158588,3364836.40,,,,-139.00,D2
10,156.44,499988804,3196041.96,,,,192.00,D8
10,84.33,288005394,3415299.71,,,,-158.00,D3

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,20793,3465500.00,,,,2.00,A6
4,0.01,19693,3282166.67,,,,32.00,E7
6,0.12,383365,3248855.93,,,,14.00,H6
6,0.07,244809,3448014.08,,,,13.00,G1
8,1.54,5101840,3312883.12,,,,17.00,H6
8,1.17,4028550,3443205.13,,,,8.00,B5
10,16.90,57318004,3390995.92,,,,20.00,H6
10,16.25,56608977,3482986.34,,,,14.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.00,14910,3727500.00,,,,145.00,H8
4,0.00,12144,4048000.00,,,,-73.00,B4
6,0.05,185306,3496339.62,,,,151.00,H8
6,0.05,161085,3355937.50,,,,-115.00,B4
8,0.66,2278359,3478410.69,,,,186.00,H8
8,0.71,2328971,3284867.42,,,,-170.00,B4
10,7.99,27474913,3438662.45,,,,212.00,H8
10,7.74,25369395,3276006.59,,,,-197.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,5013,5013000.00,,,,-65.00,A5
4,0.00,6160,6160000.00,,,,109.00,A3
6,0.01,45250,3770833.33,,,,-58.00,A8
6,0.03,110614,3456687.50,,,,102.00,B3
8,0.07,273608,3908685.71,,,,-75.00,A8
8,0.24,862784,3521567.35,,,,109.00,H6
10,0.41,1604829,3962540.74,,,,-107.00,A8
10,1.81,6366288,3513403.97,,,,130.00,B5

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3524,3524000.00,,,,167.00,G7
4,0.00,987,inf,,,,-146.00,G4
6,0.01,44914,3208142.86,,,,213.00,G7
6,0.00,10879,5439500.00,,,,-234.00,G8
8,0.16,519453,3167396.34,,,,326.00,E1
8,0.02,79327,4175105.26,,,,-370.00,G4
10,1.83,5767728,3144889.86,,,,378.00,E1
10,0.17,657829,3986842.42,,,,-405.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.01,41233,2945214.29,,,,35.00,A1
4,0.01,25335,3166875.00,,,,22.00,A3
6,0.26,836873,3218742.31,,,,29.00,A1
6,0.16,507242,3092939.02,,,,12.00,A3
8,4.59,15026159,3276528.35,,,,32.00,A1
8,2.11,6729438,3183272.47,,,,8.00,F6
10,75.24,253621659,3370656.25,,,,28.00,F6
10,27.79,96447330,3470826.62,,,,6.00,G6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4313,4313000.00,,,,11.00,F7
4,0.00,1737,inf,,,,69.00,E3
6,0.01,33007,3300700.00,,,,38.00,E3
6,0.00,8675,4337500.00,,,,33.00,F8
8,0.04,136923,3423075.00,,,,38.00,E3
8,0.01,33330,4166250.00,,,,-2.00,F8
10,0.11,389381,3639074.77,,,,3.00,B8
10,0.04,183244,4164636.36,,,,-6.00,E3

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1772,inf,,,,-92.00,F8
4,0.00,1446,inf,,,,129.00,H6
6,0.00,9671,4835500.00,,,,-114.00,F8
6,0.00,8760,4380000.00,,,,134.00,H6
8,0.01,48774,4064500.00,,,,-121.00,F8
8,0.01,51003,3923307.69,,,,188.00,C2
10,0.07,271341,4111227.27,,,,-174.00,B8
10,0.04,163458,4301526.32,,,,230.00,C4

C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,1096,inf,,,,-450.00,B8
4,0.00,2182,inf,,,,466.00,C8
6,0.00,6993,6993000.00,,,,-478.00,C8
6,0.01,17746,3549200.00,,,,456.00,H5
8,0.01,31236,4462285.71,,,,-510.00,C8
8,0.03,92542,3701680.00,,,,520.00,H5
10,0.03,132583,4276870.97,,,,-518.00,C8
10,0.09,360053,3956626.37,,,,505.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,7076,3538000.00,,,,188.00,A6
4,0.00,1485,inf,,,,-109.00,H8
6,0.02,75513,3283173.91,,,,139.00,A6
6,0.00,12525,4175000.00,,,,-128.00,C8
8,0.23,783049,3389822.51,,,,144.00,A1
8,0.02,80931,3853857.14,,,,-132.00,G5
10,1.50,5457323,3647943.18,,,,152.00,A6
10,0.05,216727,4334540.00,,,,-162.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,7202,3601000.00,,,,-161.00,F1
4,0.00,11314,3771333.33,,,,191.00,A1
6,0.03,95316,3530222.22,,,,-141.00,F1
6,0.05,163099,3470191.49,,,,171.00,A1
8,0.23,816080,3487521.37,,,,-132.00,F1
8,0.32,1193915,3696331.27,,,,161.00,A1
10,0.93,3530531,3780011.78,,,,-136.00,F1
10,1.09,4478534,4097469.35,,,,156.00,A1

