探索深度,思考時間,探索ノード数,探索速度,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
E3F5G6F3F4D3
E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.01,25819,1721266.67,885,26,0,40.00,A3
4,0.02,34982,1841157.89,1005,69,0,13.00,H6
6,0.34,541393,1592332.35,22183,1873,19,38.00,C5
6,0.39,640855,1655956.07,22536,2336,22,14.00,B5
8,6.19,9727031,1570649.28,443890,54079,6011,34.00,C5
8,7.50,12357101,1647613.47,496896,64273,7779,14.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.03,43135,1597592.59,1254,127,0,158.00,H1
4,0.02,26704,1669000.00,901,95,0,-107.00,G8
6,0.51,857387,1681150.98,32235,5792,34,151.00,D8
6,0.39,628932,1612646.15,22288,1612,14,-119.00,D3
8,10.23,17532780,1713021.98,720848,121903,16449,175.00,D8
8,8.14,12675292,1557543.87,539531,54609,9043,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,18928,1720727.27,809,34,0,2.00,A6
4,0.01,18477,2053000.00,548,41,0,32.00,E7
6,0.19,300220,1580105.26,17084,1469,9,14.00,H6
6,0.13,195809,1554039.68,8875,823,2,13.00,G1
8,2.72,4001674,1471744.76,267624,33358,2218,17.00,H6
8,1.64,2464620,1500986.60,141540,20495,593,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,13639,1239909.09,634,35,0,145.00,H8
4,0.01,11900,1700000.00,479,48,0,-73.00,B4
6,0.12,141121,1216560.34,8567,1294,3,151.00,H8
6,0.09,152759,1716393.26,8378,1681,4,-115.00,B4
8,0.97,1553415,1594881.93,102062,16313,292,186.00,H8
8,1.09,1990134,1829167.28,122326,26073,478,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,5136,1712000.00,348,17,0,-65.00,A5
4,0.00,8131,2032750.00,490,18,0,109.00,A3
6,0.03,55833,1642147.06,4845,490,1,-58.00,A8
6,0.07,122445,1827537.31,8668,1082,4,102.00,B3
8,0.22,371590,1689045.45,37359,4424,30,-75.00,A8
8,0.59,978936,1656406.09,86320,13055,224,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3737,3737000.00,256,3,0,167.00,G7
4,0.00,1097,inf,62,5,0,-146.00,G4
6,0.03,44228,1638074.07,3554,252,1,213.00,G7
6,0.01,13436,1919428.57,964,74,0,-234.00,G8
8,0.26,444887,1717710.42,37577,4731,45,326.00,E1
8,0.04,75835,1805595.24,7569,576,2,-370.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.02,36693,1834650.00,966,120,0,35.00,A1
4,0.02,24280,1428235.29,722,53,0,22.00,A3
6,0.36,572786,1604442.58,23420,4308,23,29.00,A1
6,0.26,395871,1522580.77,17663,2779,7,12.00,A3
8,4.61,7653802,1660260.74,401337,74743,5161,32.00,A1
8,2.61,4399103,1682900.92,255519,46272,2022,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,3759,3759000.00,236,12,0,11.00,F7
4,0.00,1947,inf,141,1,0,69.00,E3
6,0.01,30434,2173857.14,2789,360,0,38.00,E3
6,0.00,7857,2619000.00,950,136,0,33.00,F8
8,0.05,104922,2185875.00,13849,2189,5,38.00,E3
8,0.01,21073,2341444.44,3506,734,1,-2.00,F8

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1565,inf,163,15,0,-92.00,F8
4,0.00,1410,inf,144,5,0,129.00,H6
6,0.01,9370,1874000.00,1320,318,0,-114.00,F8
6,0.00,8439,2109750.00,1262,114,0,134.00,H6
8,0.02,33706,1982705.88,6906,1495,3,-121.00,F8
8,0.02,41676,2193473.68,8699,1073,2,188.00,C2

C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,1125,inf,115,4,0,-450.00,B8
4,0.00,2095,inf,207,12,0,466.00,C8
6,0.00,5647,2823500.00,881,77,0,-478.00,C8
6,0.01,14716,2102285.71,1779,222,0,456.00,H5
8,0.01,22763,2069363.64,4765,370,1,-510.00,C8
8,0.03,70337,2268935.48,11257,1412,6,520.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,5973,1991000.00,329,43,0,188.00,A6
4,0.00,1208,inf,110,7,0,-109.00,H8
6,0.02,37631,1710500.00,3507,563,0,139.00,A6
6,0.00,8701,2175250.00,1115,131,0,-128.00,C8
8,0.16,283156,1726560.98,37364,6770,28,144.00,A1
8,0.03,44193,1636777.78,7509,1512,1,-132.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,6134,2044666.67,267,14,0,-161.00,F1
4,0.01,10503,2100600.00,437,39,0,191.00,A1
6,0.04,59027,1686485.71,4328,462,0,-141.00,F1
6,0.07,116277,1761772.73,8304,1538,1,171.00,A1
8,0.17,338317,1944350.57,39785,5919,50,-132.00,F1
8,0.24,480609,2010916.32,61646,12130,114,161.00,A1

