探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
D3C5D6E3B4C2D2C7B2C1
8,0.20,953591,4767955.00,200411,14622,720,6,-13.83,F4
8,0.23,1077103,4765942.48,229683,16861,1090,10,12.11,C3
10,2.63,12078962,4598006.09,2849670,213270,16566,1466,-10.51,F4
10,2.19,10167962,4636553.58,2206265,174151,15838,1062,8.42,C3
12,21.79,99527503,4568625.34,25160263,1958546,178375,134356,-7.68,F4
12,20.77,93853885,4518070.81,20831940,1648713,172675,95885,7.34,G3

E6F6F5D6C4G4G7B3F4G3
8,0.25,1207438,4908284.55,213021,16314,953,5,-9.59,C5
8,0.21,1087062,5127650.94,269955,17333,1616,19,10.52,C6
10,2.23,10598970,4755033.65,1917679,174583,11899,971,-7.81,C5
10,1.85,8932149,4838650.60,2520578,189577,20011,1125,7.47,C6
12,24.56,112542829,4581989.62,20518711,1910558,157501,126451,-7.49,F3
12,26.43,122265269,4626003.37,37993193,2827401,360146,294690,8.03,G5

E6F6C4E7E8C3C2C5C6B2
8,0.09,408514,4590044.94,93524,7288,608,1,16.96,D3
8,0.15,770248,5001610.39,175540,13525,779,12,-17.52,D6
10,0.66,3090225,4703538.81,761319,65299,5265,134,13.49,D3
10,1.97,9393093,4772913.11,2150161,174063,13886,968,-15.50,E3
12,7.34,33660846,4588446.84,8153929,708215,65319,16659,14.34,D3
12,20.52,94421282,4600306.07,21859742,1734128,170744,105018,-14.50,E3

E6F4F3D6G4F6E7F8G7F7
8,0.11,548077,5074787.04,195521,18279,918,11,-24.11,C3
8,0.12,569292,4907689.66,82040,10198,597,1,22.51,F5
10,1.07,5050727,4698350.70,1981890,196582,14077,1239,-23.35,C5
10,2.94,13617395,4631767.01,2395614,288168,25472,2678,21.81,C4
12,9.36,42110334,4498967.31,17801936,1741179,171875,105757,-23.45,C5
12,28.79,125556913,4361886.85,21828865,2647373,266471,255019,21.69,C4

E6F4G3D6C7F5E3F2C3E7
8,0.09,445862,4899582.42,121796,9085,310,3,-5.27,F6
8,0.24,1202912,4970710.74,232041,18319,1270,11,4.31,D3
10,0.81,3843142,4744619.75,1154613,94219,4913,271,-5.80,F6
10,2.00,9382749,4700776.05,1945397,180278,16410,1084,2.86,D3
12,7.75,35045861,4523213.86,11415018,979780,78042,32004,-5.52,F6
12,18.10,79950414,4416661.92,16691712,1670330,157337,96868,2.71,D3

E6F6D3E3G6G7F5G5H7F4
8,0.18,892184,4875322.40,214051,20318,997,10,17.08,F3
8,0.17,758699,4570475.90,178763,18518,1106,12,-15.80,D6
10,1.81,8107874,4467148.21,2189455,232808,16990,1722,17.82,H8
10,1.40,6125552,4384790.26,1618795,185683,15269,1187,-14.75,D6
12,16.34,71105932,4352447.33,19888220,2108825,201661,158244,17.96,E2
12,11.48,47992854,4179834.00,11242997,1342821,141649,62146,-15.74,D6

F5F6D3C5B5F4G4F3G7C2
8,0.13,605298,4803952.38,154296,12240,661,4,-28.28,E6
8,0.23,1097518,4710377.68,193357,16340,1392,7,27.46,G6
10,1.23,5687403,4635210.27,1596033,132247,8308,557,-24.56,E6
10,2.04,9502483,4667231.34,1763131,168827,14853,899,23.45,C4
12,14.24,63790201,4479648.95,18894196,1540028,123669,81060,-24.23,E6
12,23.96,104790875,4373940.85,19413804,1872595,179167,122734,23.23,C4

E6F4F3D6F5E7C5G4C3G2
8,0.29,1292684,4381979.66,208080,15452,1034,7,27.82,C7
8,0.11,512835,4704908.26,115252,8223,443,1,-29.47,B5
10,3.44,14726493,4283447.64,2266020,179803,16162,1040,25.13,E3
10,1.70,7438846,4378367.27,1927120,145814,7958,651,-24.02,C4
12,30.32,143873100,4745937.65,22847862,1852024,185387,119804,25.81,C7
12,11.59,52432284,4523143.89,13926642,1052505,83366,36945,-27.24,C6

F5F4C3D6G4B2E6G3C6E7
8,0.20,1004511,5125056.12,192488,14443,1163,5,23.04,F3
8,0.32,1557179,4881438.87,331061,22521,1330,21,-24.37,H4
10,2.44,10983421,4510645.17,2066640,167489,14470,918,21.16,F3
10,2.59,12089819,4662483.22,2903181,227571,16327,1702,-22.74,C5
12,21.28,100033179,4700807.28,19058739,1569825,142057,83978,22.32,F6
12,15.81,72620287,4591861.33,20433047,1645942,138815,93342,-22.57,C5

F5F4C3F6G4F3G3H3F7E6
8,0.12,611705,5140378.15,165835,13503,793,7,-6.53,D6
8,0.08,392144,4782243.90,78684,6938,346,1,4.22,D3
10,0.96,4370151,4556987.49,1366183,124243,8829,507,-6.29,D6
10,0.77,3536126,4580474.09,714558,70815,4784,161,6.27,F8
12,7.34,32880821,4480286.28,11334750,1067510,88068,37982,-6.76,D6
12,5.79,24926606,4308834.23,5162601,579709,44456,11084,5.67,F8

